"uuid","name","description","imgUrl","createdAt","updatedAt"
"8f6de69a-da45-4135-bd15-2317522cb879","Волонтерство","Баллы в данной категории можно получить участвуя в волонтерских и благотворительных мероприятиях",NULL,"2023-12-23 11:54:22.257403+00","2023-12-23 11:54:22.257403+00"
"a28efc18-4319-4ffa-ad76-ff18e955dc16","Искусство","Баллы в данной категории можно получить участвуя в художественных мероприятиях",NULL,"2023-12-23 11:52:43.167226+00","2023-12-23 11:52:43.167226+00"
"d77937dd-4836-41e2-8552-3003dc73c8d4","Наука","Баллы в данной категории можно получить участвуя в научных конференциях и публикуя научные статьи",NULL,"2023-12-23 11:55:10.449458+00","2023-12-23 11:55:10.449458+00"
"f8047fd3-7262-4db8-89bb-c6f2b911c25e","Спорт","Баллы в данной категории можно получить за участие в спортивных мероприятиях",NULL,"2023-12-23 09:53:08.295+00","2023-12-23 09:53:08.295+00"
