"uuid","description","isVerify","createdAt","updatedAt","UserUuid"
"19986006-9b0d-4b8c-8b86-d454e83c0ad7","Наука",True,"2023-12-23 21:08:21.911616+00","2023-12-23 21:08:21.911616+00","99525048-2a2d-4eb1-8ef7-928c6c6e4018"
"8f9811df-8241-4816-9b7b-a65ab4002f39","Волонтерство",True,"2023-12-23 20:52:19.456942+00","2023-12-23 20:52:19.456942+00","6b8bd04c-fa43-4133-ae55-6aa0a1072add"
"a0d5b6bc-c5ef-4c59-b12b-63fd02c3b4c6","Искусство",True,"2023-12-23 21:07:03.025641+00","2023-12-23 21:07:03.025641+00","d162ad33-99ec-45d1-bce2-7cf4114aec0d"
"af3a23f1-77ec-4b10-bce9-023cf0ad31f8","Спорт",True,"2023-12-23 21:07:37.837744+00","2023-12-23 21:07:37.837744+00","45a2f65c-2adb-40b2-9800-bc1a5105360c"
"fa1eded2-2a77-4fa4-b2c8-5cfd4f99ebf6","Админ",True,"2023-12-23 17:41:58.498+00","2023-12-23 17:41:59.679+00","9dcc6092-53e7-4150-ab28-ced82616ca0a"
