"uuid","isPriced","createdAt","updatedAt","UserUuid","EventUuid"
"0cf7b714-6de0-4420-81a4-ca30ecf692ac",True,"2023-12-23 21:28:02.427751+00","2023-12-23 21:28:02.427751+00","9d97a6c0-fb52-4e0a-95a7-a0928919a374","8d892061-c454-4bd6-b8f2-aa98cc7874e3"
"11fa80ae-b15f-4a31-bdc4-d7a516e35842",True,"2023-12-23 21:27:28.360406+00","2023-12-23 21:27:28.360406+00","9d97a6c0-fb52-4e0a-95a7-a0928919a374","0c8ef130-774b-4b8c-aebd-b3bbcb9bb768"
"3e66c97e-995d-4c72-a204-53e3f17a24c1",True,"2023-12-23 21:28:11.617575+00","2023-12-23 21:28:11.617575+00","9d97a6c0-fb52-4e0a-95a7-a0928919a374","a7ffce9f-87c7-41db-ad29-6bedb717ff05"
"68301e95-601a-42b9-9d3b-1b1adc5b170c",True,"2023-12-23 21:28:21.798356+00","2023-12-23 21:28:21.798356+00","9d97a6c0-fb52-4e0a-95a7-a0928919a374","bacdd05e-ec9a-40a6-9fbc-790450b90f3a"
"8ac6ba0f-095f-493e-989f-930d18d0493b",True,"2023-12-23 21:32:42.493+00","2023-12-23 21:32:42.774+00","9dcc6092-53e7-4150-ab28-ced82616ca0a","8d892061-c454-4bd6-b8f2-aa98cc7874e3"
"95462c72-3fc4-4b5d-9dfc-633d7f2084d5",True,"2023-12-23 21:27:46.254674+00","2023-12-23 21:27:46.254674+00","9d97a6c0-fb52-4e0a-95a7-a0928919a374","682ecc10-4ee3-4c19-8eaf-021b2d526658"
